data_hora,timestamp_ms,umidade,ph,n_ok,p_ok,k_ok,chuva_prevista,bomba
2026-05-19T14:18:06,507,40.00,3.4,1,1,1,0,LIGADA
2026-05-19T14:18:06,2516,40.00,3.4,1,1,1,0,LIGADA
2026-05-19T14:18:06,4525,40.00,3.4,1,1,1,0,LIGADA
2026-05-19T14:18:06,6534,40.00,3.4,1,1,1,0,LIGADA
2026-05-19T14:18:06,8543,40.00,3.4,1,1,1,0,LIGADA
2026-05-19T14:18:06,10552,40.00,3.4,1,1,1,0,LIGADA
2026-05-19T14:18:06,12561,40.00,3.4,1,1,1,0,LIGADA
2026-05-19T14:18:06,14570,40.00,3.4,1,1,1,0,LIGADA
2026-05-19T14:18:06,16579,40.00,3.4,1,1,1,0,LIGADA
2026-05-19T14:18:06,18588,40.00,3.4,1,1,1,0,LIGADA
2026-05-19T14:18:06,20597,40.00,3.4,1,1,1,0,LIGADA
2026-05-19T14:18:06,22606,40.00,3.4,1,1,1,0,LIGADA
2026-05-19T14:18:06,24615,40.00,3.4,1,1,1,0,LIGADA
2026-05-19T14:18:06,26624,40.00,3.4,1,1,1,0,LIGADA
2026-05-19T14:18:06,28633,40.00,3.4,1,1,1,0,LIGADA
